,GEO_ID,NAME,S2801_C01_001E,S2801_C01_001M,S2801_C02_001E,S2801_C02_001M,S2801_C01_002E,S2801_C01_002M,S2801_C02_002E,S2801_C02_002M,S2801_C01_003E,S2801_C01_003M,S2801_C02_003E,S2801_C02_003M,S2801_C01_004E,S2801_C01_004M,S2801_C02_004E,S2801_C02_004M,S2801_C01_005E,S2801_C01_005M,S2801_C02_005E,S2801_C02_005M,S2801_C01_006E,S2801_C01_006M,S2801_C02_006E,S2801_C02_006M,S2801_C01_007E,S2801_C01_007M,S2801_C02_007E,S2801_C02_007M,S2801_C01_008E,S2801_C01_008M,S2801_C02_008E,S2801_C02_008M,S2801_C01_009E,S2801_C01_009M,S2801_C02_009E,S2801_C02_009M,S2801_C01_010E,S2801_C01_010M,S2801_C02_010E,S2801_C02_010M,S2801_C01_011E,S2801_C01_011M,S2801_C02_011E,S2801_C02_011M,S2801_C01_012E,S2801_C01_012M,S2801_C02_012E,S2801_C02_012M,S2801_C01_013E,S2801_C01_013M,S2801_C02_013E,S2801_C02_013M,S2801_C01_014E,S2801_C01_014M,S2801_C02_014E,S2801_C02_014M,S2801_C01_015E,S2801_C01_015M,S2801_C02_015E,S2801_C02_015M,S2801_C01_016E,S2801_C01_016M,S2801_C02_016E,S2801_C02_016M,S2801_C01_017E,S2801_C01_017M,S2801_C02_017E,S2801_C02_017M,S2801_C01_018E,S2801_C01_018M,S2801_C02_018E,S2801_C02_018M,S2801_C01_019E,S2801_C01_019M,S2801_C02_019E,S2801_C02_019M,S2801_C01_020E,S2801_C01_020M,S2801_C02_020E,S2801_C02_020M,S2801_C01_021E,S2801_C01_021M,S2801_C02_021E,S2801_C02_021M,S2801_C01_022E,S2801_C01_022M,S2801_C02_022E,S2801_C02_022M,S2801_C01_023E,S2801_C01_023M,S2801_C02_023E,S2801_C02_023M,S2801_C01_024E,S2801_C01_024M,S2801_C02_024E,S2801_C02_024M,S2801_C01_025E,S2801_C01_025M,S2801_C02_025E,S2801_C02_025M,S2801_C01_026E,S2801_C01_026M,S2801_C02_026E,S2801_C02_026M,S2801_C01_027E,S2801_C01_027M,S2801_C02_027E,S2801_C02_027M,S2801_C01_028E,S2801_C01_028M,S2801_C02_028E,S2801_C02_028M,S2801_C01_029E,S2801_C01_029M,S2801_C02_029E,S2801_C02_029M,S2801_C01_030E,S2801_C01_030M,S2801_C02_030E,S2801_C02_030M,S2801_C01_031E,S2801_C01_031M,S2801_C02_031E,S2801_C02_031M,zcta
17723,8600000US53110,ZCTA5 53110,7656,459,(X),(X),6706,436,87.6,2.9,5892,402,77.0,3.2,1259,252,16.4,3.1,5145,423,67.2,4.2,509,161,6.6,2.1,3668,363,47.9,4.1,48,37,0.6,0.5,295,123,3.9,1.6,7,13,0.1,0.2,950,239,12.4,2.9,6235,423,81.4,2.9,10,17,0.1,0.2,6225,424,81.3,3.0,4041,405,52.8,3.8,851,199,11.1,2.5,5129,383,67.0,3.6,234,110,3.1,1.4,1421,245,18.6,2.9,1391,242,(X),(X),10,17,0.7,1.2,769,200,55.3,10.4,612,173,44.0,10.3,3838,403,(X),(X),0,14,0.0,0.5,3098,383,80.7,3.9,740,156,19.3,3.9,2427,272,(X),(X),0,14,0.0,0.7,2358,273,97.2,1.7,69,41,2.8,1.7,53110
17734,8600000US53129,ZCTA5 53129,5943,184,(X),(X),5317,201,89.5,2.7,4947,211,83.2,3.4,561,152,9.4,2.6,4470,238,75.2,3.5,248,122,4.2,2.0,3462,264,58.3,4.1,35,34,0.6,0.6,282,126,4.7,2.1,0,14,0.0,0.3,626,163,10.5,2.7,5187,201,87.3,2.9,55,47,0.9,0.8,5132,198,86.4,3.0,3635,270,61.2,4.3,264,129,4.4,2.2,4803,227,80.8,3.5,315,126,5.3,2.1,756,181,12.7,2.9,549,161,(X),(X),0,14,0.0,3.1,315,128,57.4,16.1,234,112,42.6,16.1,2579,233,(X),(X),41,41,1.6,1.6,2094,228,81.2,5.4,444,143,17.2,5.2,2815,177,(X),(X),14,24,0.5,0.8,2723,173,96.7,2.1,78,54,2.8,1.9,53129
17735,8600000US53130,ZCTA5 53130,3103,182,(X),(X),2800,180,90.2,3.4,2560,194,82.5,4.3,377,121,12.1,3.7,2302,195,74.2,5.2,102,80,3.3,2.6,1737,184,56.0,6.0,31,30,1.0,0.9,199,100,6.4,3.2,0,12,0.0,0.6,303,109,9.8,3.4,2705,167,87.2,4.1,0,12,0.0,0.6,2705,167,87.2,4.1,1845,190,59.5,5.9,161,66,5.2,2.1,2424,187,78.1,5.0,207,72,6.7,2.4,398,140,12.8,4.1,245,111,(X),(X),0,12,0.0,6.9,131,81,53.5,19.3,114,64,46.5,19.3,1368,206,(X),(X),0,12,0.0,1.3,1153,199,84.3,5.7,215,80,15.7,5.7,1490,173,(X),(X),0,12,0.0,1.2,1421,167,95.4,5.2,69,80,4.6,5.2,53130
17736,8600000US53132,ZCTA5 53132,13498,328,(X),(X),12337,331,91.4,1.8,11528,346,85.4,2.3,1425,206,10.6,1.5,10350,354,76.7,2.2,273,146,2.0,1.1,8586,398,63.6,2.7,90,57,0.7,0.4,625,193,4.6,1.4,46,44,0.3,0.3,1161,248,8.6,1.8,11653,335,86.3,2.1,89,58,0.7,0.4,11564,336,85.7,2.0,8926,353,66.1,2.6,882,233,6.5,1.7,10326,382,76.5,2.6,618,143,4.6,1.1,1845,294,13.7,2.1,1177,212,(X),(X),43,40,3.7,3.4,606,156,51.5,11.3,528,177,44.9,11.5,5174,363,(X),(X),33,37,0.6,0.7,3990,385,77.1,4.3,1151,227,22.2,4.3,7147,307,(X),(X),13,21,0.2,0.3,6968,300,97.5,1.3,166,93,2.3,1.3,53132
17749,8600000US53154,ZCTA5 53154,14466,283,(X),(X),13449,301,93.0,1.3,12514,359,86.5,1.9,1375,272,9.5,1.8,11238,379,77.7,2.3,335,159,2.3,1.1,9278,413,64.1,2.7,134,75,0.9,0.5,823,227,5.7,1.6,62,66,0.4,0.5,1017,188,7.0,1.3,12857,291,88.9,1.7,80,55,0.6,0.4,12777,296,88.3,1.7,9504,420,65.7,2.8,1035,235,7.2,1.6,11370,341,78.6,2.0,780,170,5.4,1.2,1609,252,11.1,1.7,1348,244,(X),(X),8,14,0.6,1.0,710,184,52.7,10.5,630,186,46.7,10.6,6154,422,(X),(X),72,53,1.2,0.9,5279,379,85.8,2.9,803,198,13.0,2.9,6964,355,(X),(X),0,18,0.0,0.3,6788,347,97.5,1.0,176,73,2.5,1.0,53154
17755,8600000US53172,ZCTA5 53172,8614,240,(X),(X),7486,236,86.9,2.0,6508,249,75.6,2.5,1028,151,11.9,1.7,6065,245,70.4,2.3,369,136,4.3,1.6,4763,271,55.3,2.8,109,50,1.3,0.6,215,72,2.5,0.8,16,18,0.2,0.2,1128,178,13.1,2.0,7064,262,82.0,2.5,81,41,0.9,0.5,6983,265,81.1,2.6,5157,287,59.9,2.8,859,189,10.0,2.1,5954,258,69.1,2.9,320,87,3.7,1.0,1550,229,18.0,2.5,1357,205,(X),(X),19,21,1.4,1.5,842,161,62.0,7.0,496,114,36.6,6.7,4470,244,(X),(X),48,33,1.1,0.7,3639,252,81.4,3.5,783,159,17.5,3.5,2787,233,(X),(X),14,20,0.5,0.7,2502,203,89.8,3.9,271,115,9.7,3.8,53172
17771,8600000US53202,ZCTA5 53202,15443,342,(X),(X),14147,393,91.6,1.4,13125,430,85.0,1.8,1000,208,6.5,1.3,12557,423,81.3,1.9,391,133,2.5,0.9,8935,442,57.9,2.4,97,56,0.6,0.4,693,159,4.5,1.0,9,13,0.1,0.1,1296,213,8.4,1.4,13188,410,85.4,1.7,46,45,0.3,0.3,13142,412,85.1,1.8,10463,454,67.8,2.4,1266,273,8.2,1.7,11692,402,75.7,2.0,330,98,2.1,0.6,2255,268,14.6,1.7,3210,295,(X),(X),25,30,0.8,1.0,2056,267,64.0,5.3,1129,189,35.2,5.2,6757,406,(X),(X),21,25,0.3,0.4,5833,425,86.3,2.7,903,186,13.4,2.8,5476,339,(X),(X),0,16,0.0,0.3,5253,327,95.9,1.4,223,78,4.1,1.4,53202
17772,8600000US53203,ZCTA5 53203,909,81,(X),(X),875,80,96.3,2.6,760,84,83.6,6.2,44,27,4.8,3.0,791,86,87.0,5.0,80,47,8.8,5.0,551,94,60.6,8.7,11,19,1.2,2.0,5,8,0.6,0.9,0,9,0.0,1.9,34,25,3.7,2.6,778,84,85.6,5.9,0,9,0.0,1.9,778,84,85.6,5.9,682,82,75.0,6.4,109,42,12.0,4.5,656,73,72.2,5.9,29,28,3.2,3.0,131,57,14.4,5.9,155,52,(X),(X),0,9,0.0,10.7,78,38,50.3,22.0,77,48,49.7,22.0,375,84,(X),(X),0,9,0.0,4.6,326,83,86.9,9.0,49,34,13.1,9.0,379,91,(X),(X),0,9,0.0,4.5,374,89,98.7,2.0,5,8,1.3,2.0,53203
17773,8600000US53204,ZCTA5 53204,12951,356,(X),(X),9570,386,73.9,2.6,6352,337,49.0,2.4,911,186,7.0,1.4,8150,369,62.9,2.6,2258,269,17.4,2.1,4788,352,37.0,2.6,166,69,1.3,0.5,324,107,2.5,0.8,26,20,0.2,0.2,3381,363,26.1,2.6,7167,372,55.3,2.6,22,26,0.2,0.2,7145,372,55.2,2.6,5779,379,44.6,2.8,1873,306,14.5,2.3,4947,327,38.2,2.5,661,160,5.1,1.2,5784,395,44.7,2.6,4577,316,(X),(X),9,16,0.2,0.3,1777,223,38.8,4.1,2791,278,61.0,4.2,6639,398,(X),(X),13,22,0.2,0.3,3950,368,59.5,3.6,2676,260,40.3,3.6,1735,217,(X),(X),0,18,0.0,1.0,1418,186,81.7,5.9,317,115,18.3,5.9,53204
17774,8600000US53205,ZCTA5 53205,3413,175,(X),(X),2435,203,71.3,4.4,1514,195,44.4,4.7,258,72,7.6,2.1,2006,184,58.8,4.4,697,115,20.4,3.4,1087,167,31.8,4.0,37,27,1.1,0.8,180,79,5.3,2.3,6,8,0.2,0.2,978,154,28.7,4.4,1850,193,54.2,4.6,0,12,0.0,0.5,1850,193,54.2,4.6,1444,196,42.3,5.1,635,133,18.6,3.8,1181,159,34.6,4.0,49,22,1.4,0.7,1563,171,45.8,4.6,1602,172,(X),(X),0,12,0.0,1.1,625,122,39.0,6.8,977,159,61.0,6.8,1477,145,(X),(X),0,12,0.0,1.2,945,147,64.0,6.2,532,93,36.0,6.2,334,81,(X),(X),0,12,0.0,5.1,280,74,83.8,11.6,54,43,16.2,11.6,53205
